symbol,orderId,side,realizedPnl,commission,time,telegram_id
ETHUSDT,8389765496462915504,SELL,3.17202,0.03880930,2021-05-04 21:04:18,141746211
ETHUSDT,8389765496472617518,SELL,-0.02856,0.03623457,2021-05-05 02:49:50,141746211
BNBUSDT,30783581977,SELL,1.95615,0.03833658,2021-05-05 10:40:42,141746211
BNBUSDT,30831480012,SELL,2.1147,0.03839999,2021-05-06 03:26:09,141746211
ETHUSDT,8389765496624726194,BUY,0.0,0.03811214,2021-05-06 21:43:45,141746211
ETHUSDT,8389765496627707029,SELL,2.29656,0.03903076,2021-05-06 22:49:35,141746211
BTCUSDT,12545976117,BUY,0.0,0.07409797,2021-01-20 18:01:10,164143041
BTCUSDT,12501150055,BUY,0.0,0.01458420,2021-01-19 21:29:47,164143041
BTCUSDT,13231492482,SELL,0.94144,0.05525257,2021-01-30 00:50:26,164143041
BTCUSDT,12929411991,BUY,0.0,0.10055360,2021-01-26 08:45:52,164143041
BTCUSDT,12628409919,SELL,3.78487,0.29793914,2021-01-21 14:40:24,164143041
BTCUSDT,12590159243,BUY,0.0,0.02748876,2021-01-21 05:36:37,164143041
BTCUSDT,12920670683,BUY,0.0,0.10451462,2021-01-25 23:22:09,164143041
BTCUSDT,12528212496,BUY,0.0,0.04153800,2021-01-20 11:40:42,164143041
BTCUSDT,13217676774,BUY,0.0,0.02743800,2021-01-29 21:31:29,164143041
BTCUSDT,12597711027,BUY,0.0,0.02005962,2021-01-21 10:55:50,164143041
BTCUSDT,13054485443,SELL,4.01515,0.06108452,2021-01-27 18:57:52,164143041
BTCUSDT,12659640419,BUY,0.0,0.09726515,2021-01-22 00:30:26,164143041
BTCUSDT,12566787797,SELL,5.91164,0.29091081,2021-01-20 18:49:41,164143041
BTCUSDT,12508415450,BUY,0.0,0.02134500,2021-01-20 05:24:10,164143041
BTCUSDT,12614071873,BUY,0.0,0.03891492,2021-01-21 12:13:06,164143041
BTCUSDT,12966419961,SELL,1.77246666,0.06438020,2021-01-26 12:15:25,164143041
BTCUSDT,12621309481,BUY,0.0,0.07549367,2021-01-21 14:13:21,164143041
BTCUSDT,12966419961,SELL,3.89832666,0.14163600,2021-01-26 12:15:25,164143041
BTCUSDT,12666234789,SELL,3.44728,0.09864406,2021-01-22 00:46:54,164143041
BTCUSDT,12966419961,SELL,2.83522666,0.10300803,2021-01-26 12:15:25,164143041
BTCUSDT,13045472737,BUY,0.0,0.05947846,2021-01-27 16:39:59,164143041
BTCUSDT,13748512197,SELL,-0.52764,0.06464008,2021-02-07 00:21:55,164143041
BTCUSDT,13905829271,BUY,0.0,0.05721597,2021-02-09 08:36:56,164143041
BTCUSDT,13808566282,SELL,1.7478,0.06231838,2021-02-08 01:04:54,164143041
BTCUSDT,13838626586,SELL,-0.52876,0.06292825,2021-02-08 14:10:12,164143041
BTCUSDT,13838625267,BUY,0.0,0.06313976,2021-02-08 12:50:14,164143041
BTCUSDT,13905831309,SELL,-0.89043,0.05685980,2021-02-09 10:15:53,164143041
BTCUSDT,13748510818,BUY,0.0,0.06485113,2021-02-07 00:17:44,164143041
BTCUSDT,13936405120,BUY,0.0,0.05629801,2021-02-09 17:22:55,164143041
BTCUSDT,13756373027,BUY,0.0,0.03044832,2021-02-07 06:46:04,164143041
BTCUSDT,13828798593,SELL,1.722,0.06303440,2021-02-08 09:32:29,164143041
BTCUSDT,13808565799,BUY,0.0,0.06161926,2021-02-07 22:58:20,164143041
BTCUSDT,13842926695,BUY,0.0,0.06333518,2021-02-08 14:43:15,164143041
BTCUSDT,13828797959,BUY,0.0,0.06234560,2021-02-08 08:12:50,164143041
BTCUSDT,13842927433,SELL,1.05324,0.06375648,2021-02-08 14:44:04,164143041
BTCUSDT,13872030541,BUY,0.0,0.05225030,2021-02-08 22:31:10,164143041
BTCUSDT,13872031683,SELL,1.81872,0.05297779,2021-02-08 22:48:30,164143041
BTCUSDT,13766754712,SELL,4.8784,0.06284800,2021-02-07 12:34:48,164143041
BTCUSDT,13980123711,SELL,-0.54087,0.05592082,2021-02-10 09:25:32,164143041
BTCUSDT,14036447730,SELL,0.07839,0.05459174,2021-02-11 05:54:36,164143041
BTCUSDT,14053611860,BUY,0.0,0.05543413,2021-02-11 12:54:59,164143041
BTCUSDT,14058890410,BUY,0.0,0.03719330,2021-02-11 14:44:45,164143041
BTCUSDT,14053884800,SELL,0.47838,0.05562548,2021-02-11 12:59:44,164143041
BTCUSDT,14314008204,SELL,0.7236,0.11564066,2021-02-16 00:05:06,164143041
BTCUSDT,13946520162,SELL,-1.30983,0.05635675,2021-02-09 21:10:49,164143041
BTCUSDT,13980121502,BUY,0.0,0.05613717,2021-02-10 09:20:27,164143041
BTCUSDT,14265342616,SELL,0.0918,0.05760720,2021-02-15 04:13:07,164143041
BTCUSDT,14266912467,BUY,0.0,0.02819478,2021-02-15 04:19:19,164143041
BTCUSDT,14058890410,BUY,0.0,0.07439142,2021-02-11 14:44:45,164143041
BTCUSDT,14062253222,SELL,8.43817999,0.11496000,2021-02-11 15:34:30,164143041
BTCUSDT,14263671555,BUY,0.0,0.02878524,2021-02-15 03:37:06,164143041
BTCUSDT,14293289305,BUY,0.0,0.11535122,2021-02-15 15:01:47,164143041
BTCUSDT,13987984984,BUY,0.0,0.05655060,2021-02-10 12:12:17,164143041
BTCUSDT,14235796016,SELL,1.39008,0.11877355,2021-02-14 14:22:21,164143041
BTCUSDT,13946518246,BUY,0.0,0.05688068,2021-02-09 20:33:00,164143041
BTCUSDT,13952399733,SELL,-0.70116,0.05681848,2021-02-09 22:44:58,164143041
BTCUSDT,14230740841,BUY,0.0,0.11821752,2021-02-14 12:09:02,164143041
BTCUSDT,14267246017,BUY,0.0,0.05503776,2021-02-15 04:21:26,164143041
BTCUSDT,14267414906,SELL,-0.81269999,0.16614000,2021-02-15 04:24:58,164143041
BTCUSDT,13936407382,SELL,-0.9261,0.05592757,2021-02-09 18:11:45,164143041
BTCUSDT,13952397731,BUY,0.0,0.05709895,2021-02-09 22:42:16,164143041
BTCUSDT,13987987702,SELL,-0.57969,0.05631872,2021-02-10 12:32:46,164143041
BTCUSDT,14036447084,BUY,0.0,0.05456038,2021-02-11 05:54:35,164143041
BTCUSDT,14710424454,SELL,0.43566,0.06553778,2021-02-22 12:05:00,164143041
BTCUSDT,14719455499,SELL,0.5604,0.06404400,2021-02-22 14:25:26,164143041
BTCUSDT,14371128899,SELL,1.7379,0.05817000,2021-02-16 22:00:29,164143041
BTCUSDT,14788434633,SELL,1.05006,0.05782838,2021-02-23 10:43:35,164143041
BTCUSDT,14592617488,BUY,0.0,0.06853397,2021-02-20 14:17:33,164143041
BTCUSDT,14789746811,BUY,0.0,0.02748660,2021-02-23 11:09:33,164143041
BTCUSDT,14717495271,BUY,0.0,0.03190992,2021-02-22 14:16:08,164143041
BTCUSDT,14727018530,BUY,0.0,0.06047376,2021-02-22 16:14:05,164143041
BTCUSDT,14714401620,SELL,0.44457,0.06582649,2021-02-22 12:58:44,164143041
BTCUSDT,14759940193,BUY,0.0,0.03076152,2021-02-23 04:52:08,164143041
BTCUSDT,14320457127,SELL,6.65613,0.05932849,2021-02-16 05:41:28,164143041
BTCUSDT,14317613923,BUY,0.0,0.02833302,2021-02-16 02:35:05,164143041
BTCUSDT,14712826193,BUY,0.0,0.06564866,2021-02-22 12:31:45,164143041
BTCUSDT,14646828194,SELL,1.64361,0.06919142,2021-02-21 12:25:35,164143041
BTCUSDT,14721515326,BUY,0.0,0.03112368,2021-02-22 16:07:46,164143041
BTCUSDT,14766075744,SELL,1.59909,0.06216267,2021-02-23 05:30:58,164143041
BTCUSDT,14785964033,BUY,0.0,0.02870418,2021-02-23 10:27:09,164143041
BTCUSDT,14791716258,SELL,2.817,0.05610000,2021-02-23 11:15:05,164143041
BTCUSDT,14706071648,BUY,0.0,0.03268175,2021-02-22 11:58:16,164143041
BTCUSDT,14727559847,SELL,-17.8872,0.17604000,2021-02-22 16:16:15,164143041
BTCUSDT,14364983774,BUY,0.0,0.02873742,2021-02-16 20:10:29,164143041
BNBUSDT,28869029439,BUY,0.0,0.00911213,2021-03-10 04:10:37,164143041
BTCUSDT,15782892162,BUY,0.0,0.01066512,2021-03-10 04:10:33,164143041
ETHUSDT,8389765493498075726,SELL,7.80999,0.03068724,2021-03-03 15:13:00,164143041
BTCUSDT,15788639269,SELL,0.21276,0.02141534,2021-03-10 05:43:30,164143041
BTCUSDT,15390037125,BUY,0.0,0.00982554,2021-03-04 06:49:01,164143041
BTCUSDT,15434517703,BUY,0.0,0.01929047,2021-03-04 20:10:50,164143041
BTCUSDT,15454752375,SELL,-0.0201,0.03758620,2021-03-05 06:20:36,164143041
ETHUSDT,8389765493854116089,SELL,0.17706,0.01857804,2021-03-10 05:12:30,164143041
BNBUSDT,28872168718,SELL,0.60265,0.01846533,2021-03-10 05:48:30,164143041
ETHUSDT,8389765493357793541,BUY,0.0,0.01406406,2021-02-28 05:44:18,164143041
BTCUSDT,15396904498,SELL,0.15878,0.01971459,2021-03-04 08:22:23,164143041
ETHUSDT,8389765493599386402,SELL,0.30624,0.02920780,2021-03-04 22:06:14,164143041
ETHUSDT,8389765493486883060,BUY,0.0,0.01378162,2021-03-02 22:04:26,164143041
ETHUSDT,8389765493609872963,BUY,0.0,0.01465110,2021-03-05 03:07:32,164143041
ETHUSDT,8389765493612841359,SELL,0.1785,0.02937360,2021-03-05 06:58:12,164143041
ETHUSDT,8389765493351298173,SELL,0.89964,0.02832200,2021-02-28 02:01:42,164143041
BTCUSDT,15453380876,BUY,0.0,0.01879712,2021-03-05 02:21:48,164143041
ETHUSDT,8389765493362558385,SELL,-0.03927,0.02811242,2021-02-28 05:53:56,164143041
ETHUSDT,8389765493348427160,BUY,0.0,0.01398107,2021-02-28 01:28:50,164143041
BTCUSDT,15437689061,SELL,0.2331,0.03867420,2021-03-05 01:59:16,164143041
ETHUSDT,8389765493852121873,BUY,0.0,0.00925360,2021-03-10 04:08:45,164143041
ETHUSDT,8389765493596024597,BUY,0.0,0.01454265,2021-03-04 20:48:56,164143041
ETHUSDT,8389765493891119085,BUY,0.0,0.00920737,2021-03-10 23:08:30,164143041
BNBUSDT,29048895026,SELL,0.57987,0.00934200,2021-03-15 10:23:47,164143041
ETHUSDT,8389765494092938064,BUY,0.0,0.00943831,2021-03-15 08:33:26,164143041
BTCUSDT,16142893408,BUY,0.0,0.01161110,2021-03-15 09:13:32,164143041
BNBUSDT,29071670481,SELL,0.5067,0.01000400,2021-03-16 09:00:49,164143041
BNBUSDT,28981472843,SELL,0.063,0.00524756,2021-03-12 22:00:33,164143041
ETHUSDT,8389765493977461551,BUY,0.0,0.00483694,2021-03-12 15:27:18,164143041
BTCUSDT,16275952418,SELL,3.23400999,0.06752372,2021-03-16 22:39:24,164143041
ETHUSDT,8389765493895047121,SELL,0.50037,0.00940752,2021-03-10 23:31:12,164143041
BNBUSDT,29070475870,BUY,0.0,0.00931125,2021-03-16 03:00:36,164143041
BNBUSDT,28965308202,BUY,0.0,0.00470012,2021-03-12 15:05:25,164143041
BNBUSDT,29045344719,BUY,0.0,0.00911005,2021-03-15 09:17:23,164143041
ETHUSDT,8389765493993789153,SELL,0.13853,0.00489235,2021-03-12 22:00:46,164143041
ETHUSDT,8389765493896254569,SELL,-0.00039,0.00920722,2021-03-11 02:03:36,164143041
BCHUSDT,10986370493,BUY,0.0,0.00478710,2021-03-12 12:29:59,164143041
BTCUSDT,16151842983,BUY,0.0,0.02150396,2021-03-16 03:03:23,164143041
ETHUSDT,8389765493979235554,SELL,0.16709,0.00490378,2021-03-12 15:46:45,164143041
BNBUSDT,29050824498,SELL,-0.00972,0.00910616,2021-03-15 11:22:06,164143041
BNBUSDT,28973687724,SELL,0.37964,0.00432974,2021-03-12 17:14:00,164143041
ETHUSDT,8389765494233140286,SELL,0.01391,0.00944387,2021-03-18 09:57:31,164143041
BNBUSDT,29227637639,SELL,0.00612,0.00317883,2021-03-22 22:31:30,164143041
BNBUSDT,29228720138,BUY,0.0,0.01238097,2021-03-22 22:46:14,164143041
BNBUSDT,29229167964,SELL,-0.00276,0.01237987,2021-03-22 23:00:19,164143041
ETHUSDT,8389765494311298322,SELL,1.33,0.01047228,2021-03-20 15:18:21,164143041
ETHUSDT,8389765494389893088,BUY,0.0,0.01214787,2021-03-22 22:00:15,164143041
BNBUSDT,29079427547,SELL,1.35882,0.00936471,2021-03-17 02:02:36,164143041
BTCUSDT,16547847683,BUY,0.0,0.01140248,2021-03-21 06:48:52,164143041
ETHUSDT,8389765494332705687,SELL,0.286,0.00940258,2021-03-21 23:40:31,164143041
BTCUSDT,16556464240,SELL,0.6606,0.02306920,2021-03-21 21:06:12,164143041
BNBUSDT,29226846945,SELL,0.38664,0.01286020,2021-03-22 21:45:28,164143041
ETHUSDT,8389765494326898967,BUY,0.0,0.00964542,2021-03-21 04:26:40,164143041
BNBUSDT,29226451897,BUY,0.0,0.01217615,2021-03-22 21:15:01,164143041
ETHUSDT,8389765494392131278,BUY,0.0,0.02351335,2021-03-23 00:02:55,164143041
BNBUSDT,29230458977,SELL,0.37104,0.01229443,2021-03-23 00:08:48,164143041
ETHUSDT,8389765494397999002,SELL,1.1222,0.07177132,2021-03-23 00:58:19,164143041
BNBUSDT,29230642975,SELL,-0.00492,0.01214404,2021-03-23 02:03:37,164143041
ETHUSDT,8389765494359697216,SELL,-0.00126,0.01000216,2021-03-22 00:59:46,164143041
BNBUSDT,29227637639,SELL,0.0133,0.00741689,2021-03-22 22:31:30,164143041
BNBUSDT,29228991540,SELL,0.37608,0.01253140,2021-03-22 22:50:50,164143041
ETHUSDT,8389765494097357834,SELL,0.46007,0.00962234,2021-03-18 04:37:48,164143041
BNBUSDT,29227637639,SELL,0.00128,0.00105930,2021-03-22 22:31:30,164143041
BNBUSDT,29229747494,BUY,0.0,0.01214601,2021-03-23 00:02:53,164143041
BNBUSDT,29279092604,SELL,0.48096,0.01233595,2021-03-24 22:54:00,164143041
BTCUSDT,16865129463,SELL,0.36064,0.02096413,2021-03-26 00:25:04,164143041
ETHUSDT,8389765494707597099,SELL,0.57654,0.01301040,2021-03-31 11:31:25,164143041
BNBUSDT,29276735258,BUY,0.0,0.01214356,2021-03-24 22:28:04,164143041
BNBUSDT,29279785533,SELL,-0.02016,0.01213550,2021-03-25 00:04:29,164143041
BNBUSDT,29295565948,SELL,0.71617,0.01245717,2021-03-26 00:13:12,164143041
BTCUSDT,17154524465,SELL,0.82772,0.02331904,2021-03-31 10:56:56,164143041
ETHUSDT,8389765494706576023,BUY,0.0,0.01242479,2021-03-31 11:06:45,164143041
BNBUSDT,29452939197,SELL,0.8452,0.01191848,2021-03-31 11:17:43,164143041
BNBUSDT,29309907119,SELL,-0.00676,0.01216800,2021-03-26 01:42:38,164143041
ETHUSDT,8389765494724849092,SELL,1.28758,0.01258482,2021-03-31 20:23:43,164143041
BTCUSDT,16781540192,BUY,0.0,0.01086550,2021-03-24 22:15:23,164143041
ETHUSDT,8389765494517511653,SELL,0.65569,0.07093020,2021-03-26 00:24:04,164143041
BNBUSDT,29452338726,BUY,0.0,0.01215942,2021-03-31 11:05:23,164143041
ETHUSDT,8389765494461709016,BUY,0.0,0.01237531,2021-03-24 20:54:53,164143041
ETHUSDT,8389765494466138635,BUY,0.0,0.02295864,2021-03-25 00:16:53,164143041
BTCUSDT,16787109858,BUY,0.0,0.02036432,2021-03-25 14:27:16,164143041
BTCUSDT,17153733020,BUY,0.0,0.01149398,2021-03-31 10:54:10,164143041
BNBUSDT,29294444514,BUY,0.0,0.01217070,2021-03-25 14:14:47,164143041
BTCUSDT,16832084037,SELL,0.9186,0.04200720,2021-03-25 20:45:35,164143041
ETHUSDT,8389765494994489088,BUY,0.0,0.01913934,2021-04-07 12:12:48,164143041
BNBUSDT,29704505073,SELL,3.71424,0.01948799,2021-04-08 16:12:40,164143041
ETHUSDT,8389765494998975817,SELL,0.62136,0.01979510,2021-04-08 19:00:03,164143041
ETHUSDT,8389765494965112385,BUY,0.0,0.01894868,2021-04-06 17:22:01,164143041
BNBUSDT,29656249205,BUY,0.0,0.01800230,2021-04-07 13:45:29,164143041
BTCUSDT,17495689888,BUY,0.0,0.02248324,2021-04-07 14:27:13,164143041
BTCUSDT,17507967676,SELL,-0.0012,0.02248276,2021-04-07 20:23:33,164143041
ETHUSDT,8389765494912470125,SELL,0.64575,0.01714003,2021-04-05 12:43:35,164143041
BNBUSDT,29453442830,SELL,2.87034,0.01388657,2021-04-01 10:53:55,164143041
ETHUSDT,8389765494978285370,SELL,0.61939,0.01919644,2021-04-07 00:32:42,164143041
ETHUSDT,8389765494912470125,SELL,0.09366,0.00244913,2021-04-05 12:43:35,164143041
BNBUSDT,29662067247,SELL,1.77444,0.01871208,2021-04-08 06:27:59,164143041
ETHUSDT,8389765494903140858,BUY,0.0,0.01889146,2021-04-05 09:00:08,164143041
ETHUSDT,8389765494967381920,SELL,0.65711,0.01921153,2021-04-06 18:51:40,164143041
BTCUSDT,17499594771,SELL,0.66185,0.02274798,2021-04-07 17:15:46,164143041
ETHUSDT,8389765494918920920,SELL,2.16959,0.01935735,2021-04-05 17:24:42,164143041
BTCUSDT,17861790793,SELL,0.89401,0.02535512,2021-04-14 19:18:14,164143041
BTCUSDT,17946005587,BUY,0.0,0.02457004,2021-04-16 09:03:16,164143041
BNBUSDT,30054256068,SELL,5.67292,0.02407134,2021-04-17 07:17:07,164143041
BNBUSDT,29964438633,BUY,0.0,0.02189149,2021-04-14 17:14:42,164143041
BTCUSDT,17868267959,SELL,-0.01367,0.02499205,2021-04-14 20:59:28,164143041
ETHUSDT,8389765495056598351,SELL,1.96903,0.01951973,2021-04-10 05:58:56,164143041
ETHUSDT,8389765495426201345,BUY,0.0,0.02371204,2021-04-17 19:01:43,164143041
BNBUSDT,30043429918,BUY,0.0,0.02279318,2021-04-16 16:51:06,164143041
BTCUSDT,17952624839,SELL,0.77858,0.02488147,2021-04-17 05:20:15,164143041
BTCUSDT,17854349730,BUY,0.0,0.02499752,2021-04-14 18:32:42,164143041
BTCUSDT,17649197573,BUY,0.0,0.02348984,2021-04-10 23:51:06,164143041
BTCUSDT,17666973788,SELL,0.99101,0.02388624,2021-04-11 02:33:39,164143041
BNBUSDT,29976877583,SELL,0.08514,0.02296800,2021-04-16 04:46:49,164143041
BNBUSDT,29968908175,SELL,2.3974,0.02180800,2021-04-14 17:32:13,164143041
ETHUSDT,8389765495429633522,SELL,0.9725,0.02363610,2021-04-17 19:35:19,164143041
BTCUSDT,17777826406,SELL,3.83769,0.02502491,2021-04-13 11:17:38,164143041
BTCUSDT,18006121992,SELL,0.00476,0.02457194,2021-04-17 13:55:08,164143041
BNBUSDT,30047362397,SELL,1.44432,0.02436192,2021-04-16 17:24:20,164143041
BNBUSDT,30177541994,SELL,0.77364,0.00606228,2021-04-19 22:13:44,164143041
BNBUSDT,30177541994,SELL,1.03192,0.00808320,2021-04-19 22:13:44,164143041
BTCUSDT,18038075039,BUY,0.0,0.02376460,2021-04-18 03:31:02,164143041
BNBUSDT,30177541994,SELL,0.25798,0.00202080,2021-04-19 22:13:44,164143041
ETHUSDT,8389765495443660151,BUY,0.0,0.04439485,2021-04-18 06:20:27,164143041
BNBUSDT,30100705194,SELL,1.41432,0.02459092,2021-04-18 04:38:17,164143041
BNBUSDT,30101197839,SELL,-0.0044,0.02202134,2021-04-18 06:10:14,164143041
BNBUSDT,30104640342,BUY,0.0,0.02337145,2021-04-18 06:34:26,164143041
BNBUSDT,30103748228,BUY,0.0,0.02370430,2021-04-18 06:20:25,164143041
BNBUSDT,30104358780,SELL,1.13664,0.02321078,2021-04-18 06:28:12,164143041
ETHUSDT,8389765495497744797,SELL,5.82517,0.13821684,2021-04-19 01:51:24,164143041
BNBUSDT,30170834871,SELL,2.32032,0.02393942,2021-04-19 19:10:18,164143041
BNBUSDT,30097368321,BUY,0.0,0.02302415,2021-04-18 04:20:51,164143041
BNBUSDT,30104779567,SELL,1.63059,0.02402368,2021-04-18 06:50:34,164143041
BNBUSDT,30166041667,BUY,0.0,0.02301129,2021-04-19 18:46:55,164143041
BTCUSDT,18171201535,SELL,-12.25657999,0.13343488,2021-04-19 22:14:35,164143041
ETHUSDT,8389765495430773989,SELL,0.0,0.02417698,2021-04-17 20:59:47,164143041
ETHUSDT,8389765495439788709,BUY,0.0,0.02354853,2021-04-18 03:23:57,164143041
BTCUSDT,18041507175,BUY,0.0,0.04540416,2021-04-18 06:20:25,164143041
BNBUSDT,30105404340,SELL,-0.06864,0.02334399,2021-04-18 12:31:01,164143041
BNBUSDT,30104547547,SELL,-0.02236,0.02464352,2021-04-18 06:31:02,164143041
BNBUSDT,30177541994,SELL,1.0316,0.00808307,2021-04-19 22:13:44,164143041
BCHUSDT,11671754215,SELL,3.22289,0.02458161,2021-04-23 05:30:53,164143041
BCHUSDT,11664576377,SELL,2.5326,0.02473436,2021-04-23 00:21:49,164143041
BCHUSDT,11670696660,SELL,2.40225,0.02454390,2021-04-23 04:56:37,164143041
ETHUSDT,8389765495759647854,SELL,2.65386,0.01992073,2021-04-23 05:53:02,164143041
ETHUSDT,8389765495761948136,SELL,-0.02295,0.02313619,2021-04-23 08:18:21,164143041
BNBUSDT,30318971011,BUY,0.0,0.02331528,2021-04-22 23:28:14,164143041
BCHUSDT,11665040542,SELL,-0.0154,0.02371516,2021-04-23 03:04:47,164143041
ETHUSDT,8389765495759647854,SELL,0.60165,0.00452684,2021-04-23 05:53:02,164143041
BCHUSDT,11662882135,BUY,0.0,0.02372132,2021-04-23 00:04:48,164143041
BCHUSDT,11669706420,BUY,0.0,0.02374022,2021-04-23 04:50:22,164143041
BCHUSDT,11670904527,SELL,-0.00456,0.02389561,2021-04-23 05:16:46,164143041
BCHUSDT,11671512447,BUY,0.0,0.02329245,2021-04-23 05:24:02,164143041
BCHUSDT,11577272750,SELL,17.6967,0.01665287,2021-04-20 00:52:08,164143041
ETHUSDT,8389765495751989431,BUY,0.0,0.02314537,2021-04-23 05:25:46,164143041
BNBUSDT,30360696395,SELL,-0.19704,0.00194860,2021-04-23 12:14:54,164143041
BCHUSDT,11681506193,SELL,5.86893,0.02564002,2021-04-23 12:15:12,164143041
BNBUSDT,30360696395,SELL,-4.33488,0.04286920,2021-04-23 12:14:54,164143041
ETHUSDT,8389765495933458273,BUY,0.0,0.02488927,2021-04-26 00:36:17,164143041
BCHUSDT,11735421313,BUY,0.0,0.02408616,2021-04-26 00:45:28,164143041
ETHUSDT,8389765495944516608,SELL,2.13353,0.02617934,2021-04-26 01:15:56,164143041
BCHUSDT,11739599551,SELL,2.96352,0.02527156,2021-04-26 02:05:13,164143041
ETHUSDT,8389765495946838141,SELL,6.25184,0.02695336,2021-04-26 03:15:55,164143041
BCHUSDT,11741065810,SELL,9.21144,0.02777073,2021-04-26 09:14:26,164143041
